Date,Day,Block 1,Block 2,Block 3,Mod 1,Mod 2,Block 4,Block 5,Block 6
2025-09-08,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-09-09,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-09-10,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-09-11,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-09-12,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-09-15,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-09-16,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-09-17,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-09-18,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-09-19,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-09-22,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-09-24,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-09-25,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-09-26,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-09-29,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-09-30,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-03,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-10-06,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-10-07,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-10-08,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-09,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-10-10,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-10-13,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-10-14,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-15,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-10-16,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-10-17,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-10-20,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-21,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-10-22,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-10-23,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-10-24,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-27,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-10-28,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-10-29,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-10-30,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-10-31,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-11-03,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-11-04,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-11-05,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-11-10,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-11-11,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-11-12,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-11-13,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-11-14,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-11-17,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-11-18,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-11-19,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-11-20,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-11-21,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-11-24,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-11-25,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-11-26,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-12-01,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-12-02,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-12-03,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-12-04,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-12-05,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-12-08,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-12-09,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-12-10,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-12-11,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-12-12,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-12-15,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-12-16,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-12-17,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2025-12-18,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2025-12-19,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2025-12-22,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2025-12-23,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-01-05,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-01-06,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-01-07,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-01-08,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-01-09,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-01-12,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-01-13,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-01-14,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-01-15,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-01-16,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-01-28,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-01-29,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-01-30,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-02-02,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-02-03,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-02-04,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-02-05,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-02-06,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-02-09,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-02-10,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-02-11,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-02-12,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-02-13,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-02-17,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-02-18,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-02-19,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-02-20,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-02-23,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-02-24,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
2026-02-25,D Day,Period 2,Period 3,Period 4,Mod 1,Mod 2,Period 6,Period 7,Period 8
2026-02-26,A Day,Period 1,Period 2,Period 3,Mod 1,Mod 2,Period 5,Period 6,Period 7
2026-02-27,B Day,Period 4,Period 1,Period 2,Mod 1,Mod 2,Period 8,Period 5,Period 6
2026-03-02,C Day,Period 3,Period 4,Period 1,Mod 1,Mod 2,Period 7,Period 8,Period 5
